city,postal
Vincennes,94
Cluny,71
Le Lamentin,97
Noisy-le-Grand,93
Amiens,80
Le Mayet-d'École,03
Le Mans,72
Woippy,57
Villejuif,94
La Valette-du-Var,83
Le Bourget-du-Lac,73
Auch,32
Vienne,38
Mirecourt,88
Rueil-Malmaison,92
Font-Romeu-Odeillo-Via,66
Glux-en-Glenne,58
Saint-Aignan,41
Aubervilliers,93
Beauvais,60
Luc-sur-Mer,14
Biot,06
Le Port,97
Le Puy-en-Velay,43
Ostwald,67
Saint-Maur-des-Fossés,94
Castanet-Tolosan,31
La Garde,83
Montbéliard,25
Leudeville,91
Muret,31
San-Giuliano,20
Orsay,91
Saint-Laurent-Blangy,62
Codolet,30
Surba,09
Strasbourg,67
Petit-Bourg,97
Maisons-Alfort,94
Saint-Gatien-des-Bois,14
Abondant,28
Saint-Esprit,97
Goustranville,14
Vandœuvre-lès-Nancy,54
Vandoeuvre-lès-Nancy,54
Thiverval-Grignon,78
Beaufort-en-Anjou,49
Avesnes-les-Aubert,59
Sizun,29
Lille,59
Dinard,35
Montoir-de-Bretagne,44
Alès,30
Saint-Didier-en-Brionnais,71
Marcy-l'Étoile,69
Pointe-à-Pitre,97
Le Monêtier-les-Bains,05
Tomblaine,54
Saint-Dié-des-Vosges,88
Gouffern en Auge,61
Égletons,19
Mamers,72
Talence,33
Rustrel,84
Avion,62
Courzieu,69
Hôpital-Camfrout,29
Pau,64
Lattes,34
Lens,62
Chamalières,63
Montferrier-sur-Lez,34
Trois-Palis,16
Jaunay-Marigny,86
Aulnoy-lez-Valenciennes,59
Cugnaux,31
Boulogne-sur-Mer,62
Bévenais,38
Singapour
La Roche-Posay,86
Bussière-Galant,87
Addis Abeba
Le Tampon,97
Mercy,57
Sotteville-lès-Rouen,76
Bondy,93
La Teste-de-Buch,33
Limay,78
Poligny,39
Saint-Michel-de-Feins,53
Metz,57
Aix-en-Provence,13
Nogent-sur-Marne,94
Saclay,91
Nançay,18
Honfleur,14
Orléans,45
Saint-Jean-de-Vaulx,38
Tarascon,13
Saint-Hilaire-de-Villefranche,17
La Varenne Saint-Hilaire,94
Le Havre,76
Châtenay-Malabry,92
Freyming-Merlebach,57
Brunoy,91
Cesson-Sévigné,35
Dakar
Biguglia,20
Vannes,56
Bourges,18
Malzéville,54
Saint-André-les-Vergers,10
Saint-André-lez-Lille,59
Bengalore
Canet-en-Roussillon,66
Lunéville,54
Le Rheu,35
Thiais,94
Gennevilliers,92
Fontainebleau,77
Gières,38
Eindhoven
Ardon,45
Saint-Cyr-au-Mont-d'Or,69
Béthune,62
Lorgues,83
Tautavel,66
Saint-Étienne,42
Barenton-Bugny,02
Modane,73
Villers-lès-Nancy,54
Arcachon,33
Arles,13
La Tremblade,17
Montgiscard,31
Garches,92
Saint-Christol-lez-Alès,30
Courcouronnes,91
Sète,34
Les Pennes-Mirabeau,13
Villeneuve-en-Retz,44
Saint-Péray,07
Nanterre,92
Arles-sur-Tech,66
Bayonne,64
Pise
Maubeuge,59
Lusignan,86
Tarbes,65
Les Abrets en Dauphiné,38
Locmaria-Plouzané,29
Villeneuve d'Ascq,59
Bois-de-Céné,85
Vabonne,06
Bidart,64
Confolens,16
Annecy,74
Évry,91
Lagord,17
Cergy,95
Toulon,83
Évry-Courcouronnes,91
Nancy,54
Verdun,55
Montigny-lès-Metz,57
Châlons-en-Champagne,51
Tours,37
Dijon,21
Courbevoie,92
Colombes,92
Béziers,34
Saint-Laurent-de-la-Salanque,66
Marquette-lez-Lille,59
Dreuil-lès-Amiens,80
Arjuzanx,40
La Rochelle,17
Pont-à-Vendin,62
Villiers-en-Bois,79
Cachan,94
Mont-Saint-Aignan,76
Darnétal,76
La Tronche,38
Écully,69
FAAA,98
La Chapelle-Bâton,86
Bandol,83
Oullins,69
Gradignan,33
Roquefort-sur-Soulzon,12
Port-en-Bessin-Huppain,14
Aix-les-Bains,73
Verneuil-en-Halatte,60
Saint-Pierre-de-Chérennes,38
Schœlcher,97
Schoelcher,97
Neuville-sur-Oise,95
