Numéro ED	Idref	Libellé ED	id_ed
41	153614781	École doctorale Droit	KnOQK
42	153615435	École doctorale Entreprise, économie, société	uO01d
62	067331149	École doctorale Sciences de la vie et de la santé	vZzE7
65	153372885	École doctorale Sciences de la Vie, Santé, Agronomie, Environnement	MAOG4
70	075501341	École doctorale Sciences pour l'ingénieur	G413P
78	088621154;171832337	École doctorale Sociétés, langages, temps, connaissances	vLU3i
84	059079800	École doctorale Sciences et technologies de l'information et de la communication	9wS2W
88	035586311	École doctorale Droit et science politique	elnAJ
112	140172785	École doctorale Archéologie	EvU7R
113	050765108	École doctorale Histoire	G5wHs
159	136655076	École doctorale Esthétique, sciences et technologies des arts	zj1Vj
162	149942109	École doctorale Mécanique, énergétique, génie civil, acoustique	7wCke
166	188800972	École doctorale Information, structures et systèmes	2uO68
168	137956533	École doctorale Sciences chimiques et biologiques pour la santé	8cEME
171	157279111	École doctorale Toulouse sciences économiques	Q5nNQ
178	148543901	École doctorale Sciences fondamentales	1AiR7
217	149119070	École doctorale Mathématiques, sciences et technologies de l'information, informatique	Ehx7v
227	12718550X	École doctorale Sciences de la nature et de l'homme et de l'Ecologie	xiDA5
234	08070901X	École doctorale de Sciences Po	ux756
242	175266549	École doctorale Économie - Gestion - Normandie	z35ku
251	145184048	École doctorale Sciences de l'environnement	VR28y
265	110245946	École doctorale Langues, littératures et sociétés du monde	4YWGW
269	156504863	École doctorale Mathématiques, sciences de l'information et de l'ingénieur	5E625
355	08361821X	École doctorale Espaces, cultures, sociétés	2kMf5
396	148949460	École doctorale Économie, organisations, société	Es5e7
402	157019489	École doctorale Sciences de la vie et de la santé	YKgsU
433	114671079	École doctorale Concepts et langages	v8q34
455	157546896	École doctorale Économie, Gestion, Information et Communication	qCOg3
460	149284764	École doctorale Sciences juridiques	ZB5I5
468	154236012	École doctorale Mécanique, énergétique, génie civil, procédés	4XUTB
479	157277984	École doctorale Sciences juridiques et politiques	34mid
483	14886662X	École doctorale Sciences sociales de l'université de Lyon (Histoire, géographie, aménagement, urbanisme, archéologie, science politique, sociologie, anthropologie)	hc6u4
485	148866204	École doctorale Éducation, Psychologie, Information et Communication	O82eL
513	152549528	École doctorale Droit et sciences politiques, économiques et de gestion	aVHGU
531	135354420	École doctorale Sciences, ingénierie et environnement	b5BYq
543	158989694	École doctorale Sciences de la Décision, des Organisations, de la Société et de l’Echange	u8w6A
548	168191296	École doctorale Mer et Sciences	QX0fS
558	17526418X	École doctorale Normandie-humanités nouvelles	uX3jT
559	165852852	École doctorale Management Panthéon-Sorbonne	4SP7k
561	183956869	École doctorale Hématologie, Oncogenèse et Biothérapies	7Klb2
566	188539093	École doctorale Sciences du Sport, de la Motricité et du Mouvement Humain	3iv8y
567	188538437	École doctorale Sciences du Végétal : du gène à l'écosystème	tuDkA
574	188117970	École doctorale de Mathématiques Hadamard	4pqal
579	188201580	École doctorale Sciences mécaniques et energétiques, matériaux et géosciences	atMj7
582	188525238	École doctorale Cancérologie, Biologie, Médecine, Santé	75bj4
585	034288473	École doctorale Sciences, Technologie, Santé	NM3Dl
600	268886423	École doctorale Écologie, Géosciences, Agronomie et Alimentation	urS33
602	20476842X	École doctorale Sciences de l'Ingénierie et des Systèmes	8yWbu
604	223739545	École doctorale Sociétés, Temps, Territoires	SZI5T
605	221707778	École doctorale Biologie Santé	w8CxU
616	230836496	École doctorale humanités nouvelles et Langues	FYOlf
619	234944218	École doctorale Sciences Fondamentales et Santé	JiZVW
620	234944285	École doctorale Sciences du Numérique et de l'Ingénieur	Dr40w
635	257035729	École doctorale Polytechnique Hauts-de-France	p2m23
636	264978692	École doctorale Dynamique des environnements dans l'espace Caraïbes-Amériques	
648	266791174	École doctorale Sciences pour l’ingénieur et le Numérique	
650	264706870	École doctorale Humains en société	
654	264481372	École doctorale Littératures, Sciences Humaines et Sociales	
8	111898048	École doctorale Histoire du droit, philosophie du droit et sociologie du droit	pGSed
20	138030405	École doctorale Civilisations, cultures, littératures et sociétés	agjNi
40	151368058	École doctorale Sciences chimiques	wde3D
67	077373561	École doctorale Sciences juridiques et politiques	qrOj1
85	059572175	École doctorale Sciences de la vie et de la santé	YdiMF
101	057975965	École doctorale de Sciences juridiques	569G2
127	15636994X	École doctorale Astronomie et astrophysique d'Ile de France	cPXrq
130	147290880	École doctorale Informatique, télécommunications et électronique de Paris	O5ysj
154	147456029	École doctorale Sciences de la vie et de la santé	hLn36
218	149116179	École doctorale Chimie et sciences du vivant	8bcJh
220	14912449X	École doctorale Électronique, électrotechnique, automatique, traitement du signal	IxEaw
224	164765263	École doctorale Cognition, langage, interaction	7v43e
231	185717616	École doctorale Économie et gestion	KT720
245	035295368	École doctorale Sciences économiques, juridiques, politiques et de gestion	ShLUg
250	145183920	École doctorale Sciences chimiques	O0Fav
262	152674756	École doctorale Sciences juridiques, politiques, économiques et de gestion	H7GyL
267	103535551	École doctorale Arts et médias	eCF5C
284	059820217	École doctorale Droit et Science Politique	ahH92
323	154235504	École doctorale Génie électrique, électronique et télécommunications	arcz6
326	154886017	École doctorale Comportement, langage, éducation, socialisation, cognition	nWIlG
341	148378331	École doctorale Évolution, écosystèmes, microbiologie, modélisation	J83I0
352	077512944	École doctorale Physique et sciences de la matière	fb5YC
353	147590841	École doctorale Sciences pour l'ingénieur : mécanique, physique, micro et nanoélectronique	vk5Kp
393	168082306	École doctorale Pierre Louis de Santé Publique à Paris : Épidémiologie et Sciences de l'information biomédicale	69445
395	148942776	École doctorale Espaces, Temps, Cultures	2quEb
413	15650166X	École doctorale Sciences de la terre et de l'Environnement	u9BA9
414	156502844	École doctorale Sciences de la vie et de la santé	YI4xS
459	137939515	École doctorale Sciences chimiques Balard	YFs2W
482	154236152	École doctorale Sciences de la matière	kmeZ4
492	148863299	École doctorale Droit	kOQsX
493	177537957	École doctorale Erasme	FPW4T
510	149399367	École doctorale Ingénierie - Matériaux, mécanique, environnement, énergétique, procédés, production	Ce7NF
530	174788525	École doctorale Organisations, marchés, institutions	4htv7
532	135388139	École doctorale Mathématiques et sciences et technologies de l'information et de la communication	t43KM
